participant_id,replicate_id,arrow_load,flanker_consistency,rt_congruent_ms,rt_incongruent_ms,congruency_effect_ms,error_count
1,1,low,consistent,613,671.0,58.0,3.0
1,1,low,inconsistent,606,625.8,19.8,0.0
1,1,high,consistent,472,521.4,49.4,3.0
1,1,high,inconsistent,622,717.9,95.9,3.0
1,2,low,consistent,607,664.0,57.0,4.0
1,2,low,inconsistent,518,533.0,15.0,2.0
1,2,high,consistent,437,550.1,113.1,1.0
1,2,high,inconsistent,705,730.9,25.9,5.0
1,3,low,consistent,663,670.0,7.0,5.0
1,3,low,inconsistent,507,567.0,60.0,2.0
1,3,high,consistent,462,615.4,153.4,2.0
1,3,high,inconsistent,650,687.8,37.8,2.0
1,4,low,consistent,667,671.0,4.0,3.0
1,4,low,inconsistent,427,520.6,93.6,5.0
1,4,high,consistent,460,551.0,91.0,4.0
1,4,high,inconsistent,699,746.6,47.6,1.0
1,5,low,consistent,614,758.0,144.0,4.0
1,5,low,inconsistent,462,535.1,73.1,5.0
1,5,high,consistent,420,529.1,109.1,2.0
1,5,high,inconsistent,777,816.3,39.3,1.0
2,1,low,consistent,564,782.0,218.0,4.0
2,1,low,inconsistent,487,515.8,28.8,4.0
2,1,high,consistent,470,548.0,78.0,4.0
2,1,high,inconsistent,518,538.3,20.3,5.0
2,2,low,consistent,735,749.0,14.0,5.0
2,2,low,inconsistent,541,547.6,6.6,3.0
2,2,high,consistent,406,508.7,102.7,4.0
2,2,high,inconsistent,465,552.5,87.5,3.0
2,3,low,consistent,579,728.0,149.0,6.0
2,3,low,inconsistent,441,561.5,120.5,5.0
2,3,high,consistent,423,482.8,59.8,2.0
2,3,high,inconsistent,624,617.7,-6.3,1.0
2,4,low,consistent,555,692.0,137.0,3.0
2,4,low,inconsistent,528,544.8,16.8,1.0
2,4,high,consistent,419,454.1,35.1,1.0
2,4,high,inconsistent,577,594.5,17.5,3.0
2,5,low,consistent,509,557.0,48.0,3.0
2,5,low,inconsistent,502,513.3,11.3,1.0
2,5,high,consistent,526,581.9,55.9,2.0
2,5,high,inconsistent,452,494.0,42.0,2.0
3,1,low,consistent,539,667.0,128.0,3.0
3,1,low,inconsistent,528,559.8,31.8,3.0
3,1,high,consistent,450,651.5,201.5,5.0
3,1,high,inconsistent,425,519.5,94.5,0.0
3,2,low,consistent,543,631.0,88.0,2.0
3,2,low,inconsistent,457,481.6,24.6,2.0
3,2,high,consistent,477,492.6,15.6,3.0
3,2,high,inconsistent,452,500.3,48.3,2.0
3,3,low,consistent,459,599.0,140.0,2.0
3,3,low,inconsistent,448,452.8,4.8,2.0
3,3,high,consistent,420,573.4,153.4,2.0
3,3,high,inconsistent,447,514.9,67.9,2.0
3,4,low,consistent,556,615.0,59.0,4.0
3,4,low,inconsistent,417,512.5,95.5,2.0
3,4,high,consistent,501,537.4,36.4,3.0
3,4,high,inconsistent,485,492.7,7.7,2.0
3,5,low,consistent,523,639.0,116.0,4.0
3,5,low,inconsistent,466,470.3,4.3,1.0
3,5,high,consistent,471,560.6,89.6,3.0
3,5,high,inconsistent,475,524.1,49.1,1.0
4,1,low,consistent,545,683.0,138.0,4.0
4,1,low,inconsistent,443,510.8,67.8,2.0
4,1,high,consistent,441,603.5,162.5,3.0
4,1,high,inconsistent,473,520.6,47.6,1.0
4,2,low,consistent,458,554.0,96.0,4.0
4,2,low,inconsistent,450,481.2,31.2,0.0
4,2,high,consistent,473,584.8,111.8,1.0
4,2,high,inconsistent,456,511.3,55.3,2.0
4,3,low,consistent,513,567.0,54.0,3.0
4,3,low,inconsistent,430,484.6,54.6,3.0
4,3,high,consistent,511,535.7,24.7,2.0
4,3,high,inconsistent,484,495.9,11.9,1.0
4,4,low,consistent,491,553.0,62.0,2.0
4,4,low,inconsistent,453,508.2,55.2,2.0
4,4,high,consistent,498,611.1,113.1,2.0
4,4,high,inconsistent,450,513.8,63.8,4.0
4,5,low,consistent,514,574.0,60.0,4.0
4,5,low,inconsistent,493,518.7,25.7,1.0
4,5,high,consistent,499,593.9,94.9,2.0
4,5,high,inconsistent,451,499.4,48.4,4.0
5,1,low,consistent,531,552.0,21.0,
5,1,low,inconsistent,460,534.4,74.4,
5,1,high,consistent,564,573.1,9.1,2.0
5,1,high,inconsistent,436,500.4,64.4,0.0
5,2,low,consistent,521,467.0,-54.0,
