subject,arrow_num,consistent,effects(ms)
1,low,consistent,54
1,low,inconsistent,52.3
1,high,consistent,103.2
1,high,inconsistent,49.3
2,low,consistent,113.2
2,low,inconsistent,36.8
2,high,consistent,66.3
2,high,inconsistent,32.2
3,low,consistent,106.2
3,low,inconsistent,32.2
3,high,consistent,99.3
3,high,inconsistent,53.5
4,low,consistent,82
4,low,inconsistent,46.9
4,high,consistent,101.4
4,high,inconsistent,45.4
5,low,consistent,44.4
5,low,inconsistent,37.9
5,high,consistent,65.3
5,high,inconsistent,29.4
6,low,consistent,32.2
6,low,inconsistent,19.7
6,high,consistent,60.3
6,high,inconsistent,22.1
7,low,consistent,70.2
7,low,inconsistent,14.3
7,high,consistent,79
7,high,inconsistent,31.9
8,low,consistent,92.6
8,low,inconsistent,33.2
8,high,consistent,102.7
8,high,inconsistent,29.5
9,low,consistent,55
9,low,inconsistent,40.1
9,high,consistent,58.5
9,high,inconsistent,32.5
10,low,consistent,44
10,low,inconsistent,19.4
10,high,consistent,90.2
10,high,inconsistent,33.9
11,low,consistent,50.6
11,low,inconsistent,35.5
11,high,consistent,104.8
11,high,inconsistent,23.4
12,low,consistent,47.8
12,low,inconsistent,33.4
12,high,consistent,59
12,high,inconsistent,37.1
